BodyTemp	Pulse
36.44444444444444	69
37.44444444444444	77
37.22222222222222	75
37.111111111111114	84
36.666666666666664	71
37.166666666666664	76
37.22222222222222	81
36.55555555555556	77
36	75
37.22222222222222	81
36.888888888888886	82
37.111111111111114	78
36.55555555555556	71
37.166666666666664	80
36.888888888888886	70
36.05555555555556	74
37.5	75
37.111111111111114	83
36.44444444444444	74
36.611111111111114	76
36.5	77
36.833333333333336	79
36.333333333333336	78
38.22222222222222	77
36.833333333333336	78
36.77777777777778	69
36.666666666666664	89
36.55555555555556	74
36.22222222222222	64
36.77777777777778	73
36.333333333333336	72
36.388888888888886	70
36.77777777777778	57
36.666666666666664	67
36.888888888888886	73
37.388888888888886	68
36.77777777777778	64
36.72222222222222	67
36.5	61
37.22222222222222	79
36.94444444444444	83
37	78
37.111111111111114	64
36.888888888888886	81
37.05555555555556	78
35.77777777777778	69
36.666666666666664	73
36.5	84
36.77777777777778	72
37.05555555555556	73
